Version ID,Class Name,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java,684,688,17,3,0,1,686,683,228.66666666666666,684,683,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Index.java,82,82,17,2,0,1,82,82,41.0,82,82,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java,190,190,17,2,0,1,190,190,95.0,190,190,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java,184,184,17,2,0,1,184,184,92.0,184,184,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/NameSet.java,74,76,17,3,0,1,75,73,25.0,74,73,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/PrimaryKey.java,82,82,17,2,0,1,82,82,41.0,82,82,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ReferenceCounter.java,39,39,17,2,0,1,39,39,19.5,39,39,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,259,259,17,2,0,1,259,259,129.5,259,259,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaFactory.java,39,39,17,2,0,1,39,39,19.5,39,39,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,944,948,17,3,0,1,946,943,315.3333333333333,944,943,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,400,402,17,3,0,1,401,401,133.66666666666666,402,401,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaParser.java,62,62,17,2,0,1,62,62,31.0,62,62,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaSerializer.java,78,78,17,2,0,1,78,78,39.0,78,78,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,1523,1523,17,2,0,1,1523,1523,761.5,1523,1523,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,232,232,17,2,0,1,232,232,116.0,232,232,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java,206,212,17,3,0,1,209,209,69.66666666666667,212,209,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,186,195,17,3,0,2,191,180,63.666666666666664,187,180,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,689,695,17,3,0,1,692,692,230.66666666666666,695,692,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,493,493,17,2,0,1,493,493,246.5,493,493,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java,53,53,17,2,0,1,53,53,26.5,53,53,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,602,606,17,3,0,1,604,601,201.33333333333334,602,601,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,442,446,17,3,0,1,444,444,148.0,446,444,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,95,95,17,2,0,1,95,95,47.5,95,95,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,846,864,17,4,0,2,855,847,213.75,848,847,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractSQLServerDictionary.java,151,151,17,2,0,1,151,151,75.5,151,151,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,92,93,17,2,0,1,93,93,46.5,93,93,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/CacheDictionary.java,42,42,17,2,0,1,42,42,21.0,42,42,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Calendard.java,35,35,17,2,0,1,35,35,17.5,35,35,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,144,144,17,2,0,1,144,144,72.0,144,144,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,3729,3793,17,7,0,2,3761,3721,537.2857142857143,3737,3721,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java,592,592,17,2,0,1,592,592,296.0,592,592,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,93,93,17,2,0,1,93,93,46.5,93,93,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/EmpressDictionary.java,171,171,17,2,0,1,171,171,85.5,171,171,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,58,58,17,2,0,1,58,58,29.0,58,58,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,159,159,17,2,0,1,159,159,79.5,159,159,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,310,316,17,3,0,2,313,309,104.33333333333333,310,309,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,253,253,17,2,0,1,253,253,126.5,253,253,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InterbaseDictionary.java,115,115,17,2,0,1,115,115,57.5,115,115,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JDataStoreDictionary.java,112,112,17,2,0,1,112,112,56.0,112,112,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,189,192,17,3,0,2,191,151,63.666666666666664,190,151,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,403,403,17,2,0,1,403,403,201.5,403,403,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSyntaxes.java,39,39,17,2,0,1,39,39,19.5,39,39,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Joins.java,72,80,17,3,0,2,76,71,25.333333333333332,72,71,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,912,968,17,5,0,2,940,900,188.0,916,900,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MergedResult.java,533,545,17,4,0,2,539,534,134.75,535,534,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,166,166,17,2,0,1,166,166,83.0,166,166,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,1012,1032,17,4,0,2,1022,1019,255.5,1026,1019,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PointbaseDictionary.java,124,124,17,2,0,1,124,124,62.0,124,124,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,376,376,17,2,0,1,376,376,188.0,376,376,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java,430,434,17,3,0,1,432,432,144.0,434,432,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Raw.java,35,35,17,2,0,1,35,35,17.5,35,35,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Result.java,572,578,17,3,0,2,575,572,191.66666666666666,572,572,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java,488,488,17,2,0,1,488,488,244.0,488,488,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Row.java,520,520,17,2,0,1,520,520,260.0,520,520,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,940,941,17,2,0,1,941,941,470.5,941,941,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManager.java,71,71,17,2,0,1,71,71,35.5,71,71,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManagerImpl.java,254,262,17,3,0,1,258,258,86.0,262,258,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java,608,609,17,2,0,1,609,609,304.5,609,609,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLExceptions.java,112,112,17,3,0,1,112,103,37.333333333333336,112,103,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactory.java,43,43,17,2,0,1,43,43,21.5,43,43,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactoryImpl.java,60,60,17,2,0,1,60,60,30.0,60,60,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java,124,124,17,2,0,1,124,124,62.0,124,124,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SecondaryRow.java,184,184,17,2,0,1,184,184,92.0,184,184,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Select.java,681,723,17,5,0,2,702,668,140.4,681,668,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectExecutor.java,122,122,17,2,0,1,122,122,61.0,122,122,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,2834,3041,17,7,0,2,2938,2795,419.7142857142857,2841,2795,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Sized.java,33,33,17,2,0,1,33,33,16.5,33,33,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SybaseDictionary.java,298,298,17,2,0,1,298,298,149.0,298,298,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Union.java,76,76,17,2,0,1,76,76,38.0,76,76,no
1,openjpa-kernel-4/src/main/java/org/apache/openjpa/util/ProxyGregorianCalendar4.java,60,60,17,1,0,1,60,60,60.0,60,60,no
1,openjpa-kernel-5/src/main/java/org/apache/openjpa/enhance/PCClassFileTransformer.java,193,791,17,8,0,2,492,219,61.5,281,219,yes
1,openjpa-kernel-5/src/main/java/org/apache/openjpa/enhance/PCEnhancerAgent.java,68,232,17,7,0,2,150,65,21.428571428571427,72,65,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java,138,410,17,5,0,1,274,127,54.8,140,127,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java,518,1680,17,7,0,3,1099,507,157.0,552,507,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/ant/MetaDataToolTask.java,87,269,17,6,0,2,178,82,29.666666666666668,93,82,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask.java,88,294,17,7,0,2,191,86,27.285714285714285,110,86,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,71,311,17,6,0,1,191,82,31.833333333333332,111,82,yes
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java,91,283,17,9,0,2,187,42,20.77777777777778,111,43,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,139,439,17,4,0,1,289,136,72.25,139,136,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/DetachOptions.java,157,471,17,4,0,1,314,149,78.5,157,149,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1364,4178,17,9,0,3,2771,1324,307.8888888888889,1380,1324,yes
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,1433,4479,17,14,0,3,2956,1352,211.14285714285714,1483,1352,yes
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAVersion.java,140,294,17,7,0,2,217,58,31.0,142,58,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/ProductDerivation.java,63,217,17,5,0,2,140,65,28.0,73,65,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/ProductDerivations.java,127,444,17,10,0,2,286,123,28.6,168,123,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/RemoteCommitProviderValue.java,139,413,17,5,0,1,276,132,55.2,139,132,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/conf/SeqValue.java,46,134,17,4,0,1,90,41,22.5,46,41,no
1,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java,439,1259,17,6,0,2,849,403,141.5,441,403,no
