Version ID,Class Name,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/Main.java,54,54,12,1,0,1,54,54,54.0,54,54,no
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,38,12,1,0,1,38,38,38.0,38,38,no
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,98,12,1,0,1,98,98,98.0,98,98,no
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,38,38,12,1,0,1,38,38,38.0,38,38,no
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java,94,94,12,1,0,1,94,94,94.0,94,94,no
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,239,12,3,1,1,227,177,75.66666666666667,215,177,no
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,297,12,2,0,1,284,260,142.0,271,260,no
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,617,12,5,0,3,534,425,106.8,459,425,no
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,0,12,0,0,0,0,0,0.0,0,0,no
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,486,12,2,0,2,305,294,152.5,124,123,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,1422,12,20,7,3,580,106,29.0,612,327,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,51,55,12,2,0,2,53,52,26.5,53,52,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,68,12,2,1,2,63,58,31.5,58,53,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,31,35,12,2,0,2,33,33,16.5,35,33,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,0,12,0,0,0,0,0,0.0,0,0,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,208,12,2,1,1,202,195,101.0,196,195,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,473,748,12,12,5,3,375,253,31.25,282,129,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,40,12,1,1,1,40,40,40.0,40,40,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,255,209,12,4,2,1,130,79,32.5,51,20,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,423,12,4,1,3,401,228,100.25,379,211,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,581,12,7,1,3,545,378,77.85714285714286,541,378,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,32,12,1,0,1,32,32,32.0,32,32,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,82,12,2,0,1,74,69,37.0,72,69,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,235,12,4,2,2,211,183,52.75,191,183,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,602,12,3,0,2,589,550,196.33333333333334,576,550,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,164,12,3,0,1,161,157,53.666666666666664,158,157,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,761,12,8,2,2,128,92,16.0,579,531,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,27,133,12,2,0,1,80,79,40.0,131,79,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,788,896,12,7,4,3,842,712,120.28571428571429,788,712,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,60,60,12,1,0,1,60,60,60.0,60,60,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,62,235,12,5,1,1,74,36,14.8,159,88,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,88,148,12,2,0,1,118,113,59.0,138,113,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,58,12,2,0,1,55,53,27.5,54,53,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,12,12,2,1,2,9,6,4.5,6,4,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91,91,12,1,0,1,91,91,91.0,91,91,no
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,0,12,0,0,0,0,0,0.0,0,0,no
