ID,Size,Predicted,Actual
1,76,3.332234786770421E-8,no
2,72,3.3441978586846755E-8,no
3,196,3.337637271344426E-8,no
4,170,3.29161666255385E-8,no
5,120,3.2753435115454374E-8,no
6,242,3.469517281350708E-8,no
7,312,3.858963704825889E-8,no
8,151,3.2752377346474306E-8,no
9,53,3.394899605688753E-8,no
10,626,1.176984463296187E-7,no
11,884,6.394622634626316E-7,no
12,51,3.394899605688753E-8,no
13,61,3.3714681224818177E-8,no
14,162,3.283020608810637E-8,no
15,68,3.3505950593369244E-8,no
16,86,3.316347322264625E-8,no
17,146,3.272914159497982E-8,no
18,202,3.350113072603345E-8,no
19,363,7.635091469739437E-8,no
20,72,1.3626963525276404E-7,no
21,74,1.360202734442925E-7,no
22,327,1.0,yes
23,265,3.577836046661052E-8,no
24,35,3.449649604646644E-8,no
25,546,7.950724107175687E-8,yes
26,297,3.7474600923631336E-8,no
27,45,3.420940951678282E-8,no
28,129,3.2721912376602024E-8,no
29,61,3.3714681224818177E-8,no
30,65,3.357271412489031E-8,no
31,161,3.283020608810637E-8,no
32,244,3.4802819117362797E-8,no
33,382,4.529123554241441E-8,no
34,49,3.4032873582629045E-8,no
35,41,3.4302111216627946E-8,no
36,97,3.298951806921973E-8,no
37,1687,0.018124573325325733,yes
38,957,1.0,yes
39,46,3.4119670980275536E-8,no
40,465,9.973549871976268E-8,no
41,374,4.434030325148059E-8,yes
42,221,3.402657928454761E-8,no
43,460,5.714935369902618E-8,no
44,213,3.378426505281094E-8,no
45,47,3.4119670980275536E-8,no
46,162,3.283020608810637E-8,yes
47,82,5.892700459337897E-8,no
48,131,3.2716613509971896E-8,no
49,395,4.664283344896735E-8,no
50,159,3.280681880277633E-8,no
51,898,0.17819522428719586,no
52,43,3.420940951678282E-8,no
53,206,3.356768754701722E-8,no
54,58,0.0013871684919255025,no
55,88,0.001368571750696551,no
56,166,3.288487346054331E-8,no
57,36,0.0014728106869433865,no
58,84,3.316347322264625E-8,no
59,36,0.0014728106869433865,no
60,201,0.001381836418046484,no
61,43,3.420940951678282E-8,no
62,49,3.4032873582629045E-8,no
63,73,3.338078261241164E-8,no
64,75,3.338078261241164E-8,no
65,131,3.2716613509971896E-8,no
66,94,3.3028981851328504E-8,no
67,160,0.0012918444734690974,no
68,193,3.326265603988087E-8,no
69,109,3.283203750671635E-8,no
70,70,3.3441978586846755E-8,no
71,220,3.394291658041961E-8,no
72,63,3.364228537104536E-8,no
73,46,3.4119670980275536E-8,no
74,54,3.3868017884979724E-8,no
75,70,3.3441978586846755E-8,no
76,44,0.0014039144369558463,no
77,51,3.394899605688753E-8,no
78,207,3.363705086300596E-8,no
79,78,3.332234786770421E-8,no
80,59,3.3714681224818177E-8,no
81,56,3.3868017884979724E-8,no
82,44,3.420940951678282E-8,no
83,224,3.411316031973989E-8,no
84,119,3.276915976656578E-8,no
85,113,3.280845626835717E-8,no
86,83,3.3213706275045555E-8,no
87,213,3.378426505281094E-8,no
88,175,3.2986709379396744E-8,no
89,47,3.4119670980275536E-8,no
90,224,3.411316031973989E-8,no
91,47,3.4119670980275536E-8,no
92,93,3.3028981851328504E-8,no
93,47,3.4119670980275536E-8,no
94,155,0.001295202468127284,no
95,167,3.288487346054331E-8,no
96,65,3.357271412489031E-8,no
97,65,3.357271412489031E-8,no
98,45,3.420940951678282E-8,no
99,403,4.772275975785776E-8,no
100,47,3.4119670980275536E-8,no
101,32,3.45982270959099E-8,no
102,56,3.3868017884979724E-8,no
103,61,3.3714681224818177E-8,no
104,104,3.288709414562402E-8,no
105,155,3.278605478695025E-8,yes
106,161,1.0,no
107,43,3.420940951678282E-8,no
108,43,3.420940951678282E-8,no
109,95,3.298951806921973E-8,no
110,79,3.32666602349026E-8,no
111,81,3.3213706275045555E-8,no
112,51,0.0014494693289586133,no
113,103,3.288709414562402E-8,no
114,826,4.1222680288093954E-7,yes
115,131,3.2716613509971896E-8,no
116,36,3.449649604646644E-8,no
117,71,3.3441978586846755E-8,no
118,41,3.4302111216627946E-8,no
119,39,3.439779887088078E-8,no
120,345,4.127311212830226E-8,no
121,57,3.378991928932841E-8,no
122,47,0.0014006867387069766,no
123,282,3.665010100541869E-8,no
124,118,3.276915976656578E-8,no
125,68,0.001375526836305546,no
126,207,3.363705086300596E-8,no
127,152,0.0012903142899142756,no
128,54,3.3868017884979724E-8,no
129,57,0.0013871684919255025,yes
130,57,0.0013871684919255025,yes
131,214,0.0013039819413095215,no
132,157,1.0,no
133,163,1.0,no
134,177,3.3025975875966285E-8,no
135,989,1.5472473151675793E-6,yes
136,473,1.0,no
137,115,3.278749869082512E-8,no
138,128,3.2721912376602024E-8,no
139,436,5.267392650309138E-8,no
140,170,3.29161666255385E-8,no
141,78,3.332234786770421E-8,no
142,85,3.316347322264625E-8,no
143,1050,1.0,yes
144,397,0.0022495638978083697,yes
145,247,3.491357516249436E-8,no
146,87,3.3115948980537E-8,no
147,46,3.4119670980275536E-8,no
148,72,3.3441978586846755E-8,no
149,67,3.357271412489031E-8,no
150,164,3.285622223338033E-8,no
151,91,3.307112211503082E-8,no
152,307,3.8202168641265974E-8,no
153,775,2.85587058857384E-7,no
154,1785,1.0,yes
155,1259,2.6513490473899242E-5,no
156,71,3.3441978586846755E-8,no
157,1143,7.013872344486102E-6,no
158,142,3.272143203102639E-8,no
159,167,3.288487346054331E-8,no
160,63,3.364228537104536E-8,no
161,230,3.429516298556879E-8,no
162,611,1.0819615034976431E-7,no
163,138,3.271382032903058E-8,no
