ID,Size,Predicted,Actual
1,56,1.743559027083624E-6,no
2,45,1.7558011196953274E-6,no
3,45,1.7558011196953274E-6,no
4,97,1.7089695579905382E-6,no
5,43,1.7591139800714084E-6,no
6,76,1.7238201828835503E-6,no
7,76,1.7238201828835503E-6,no
8,72,1.7259470166414703E-6,no
9,196,1.7370119518173854E-6,no
10,170,1.714008351538745E-6,no
11,120,1.701378190382158E-6,no
12,242,1.8052133987460103E-6,no
13,312,1.9882939557498773E-6,no
14,158,1.7073597550725164E-6,no
15,53,1.7464691816600841E-6,no
16,632,5.497589047642431E-6,no
17,937,3.57441470510694E-5,yes
18,87,1.714622110296584E-6,no
19,61,1.7380365344347408E-6,no
20,162,1.7097373832603484E-6,no
21,68,1.7304906066747551E-6,no
22,39,1.766046306970555E-6,no
23,911,2.935835491497573E-5,no
24,56,1.743559027083624E-6,no
25,213,1.7578178157646993E-6,no
26,484,3.0546316313862187E-6,no
27,86,1.714622110296584E-6,no
28,311,1.9882939557498773E-6,no
29,359,2.1713332838823983E-6,no
30,146,1.7030486866390282E-6,no
31,215,1.7611930811004884E-6,no
32,437,2.650937490405947E-6,no
33,72,1.7259470166414703E-6,no
34,74,1.7238201828835503E-6,no
35,358,2.1713332838823983E-6,no
36,265,1.8567485238819543E-6,no
37,35,1.7733913280764322E-6,no
38,555,3.97650280802279E-6,no
39,297,1.9416577895027632E-6,no
40,45,1.7558011196953274E-6,no
41,378,2.2666186758308048E-6,no
42,180,1.7210282082129847E-6,no
43,128,1.700908521577757E-6,no
44,61,1.7380365344347408E-6,no
45,65,1.7329081114362917E-6,no
46,161,1.7097373832603484E-6,yes
47,244,1.8098593143384613E-6,no
48,448,2.7267885037409457E-6,no
49,54,1.7464691816600841E-6,no
50,41,1.7625288526688857E-6,no
51,107,1.7048170511612256E-6,no
52,1746,0.9397812087494575,yes
53,1068,1.0332305896771914E-4,yes
54,46,1.7558011196953274E-6,no
55,465,2.8707863041997532E-6,no
56,136,1.7012707007678616E-6,no
57,423,2.5452440699468133E-6,no
58,221,1.7682512687467268E-6,no
59,460,2.8281167672563736E-6,no
60,215,1.7611930811004884E-6,no
61,57,1.740748299834179E-6,no
62,429,9.170597487554285E-6,no
63,440,2.6694825360709015E-6,yes
64,53,1.7464691816600841E-6,no
65,163,1.7097373832603484E-6,no
66,47,1.7558011196953274E-6,no
67,307,1.972196746603378E-6,no
68,82,1.7180153756271556E-6,no
69,130,1.7009368192906853E-6,no
70,406,2.433257206726439E-6,no
71,158,1.7073597550725164E-6,no
72,966,4.4637921334729076E-5,yes
73,43,1.7591139800714084E-6,no
74,206,1.7483006349207462E-6,no
75,58,1.740748299834179E-6,no
76,121,1.701378190382158E-6,no
77,167,1.712490463438823E-6,no
78,36,1.7696669303184468E-6,no
79,84,1.7162712783553945E-6,no
80,36,1.7696669303184468E-6,no
