ID,Size,Predicted,Actual
1,56,0.0012620413831819102,no
2,45,0.0012725006408976622,no
3,45,0.0012725006408976622,no
4,97,0.001230501339777341,no
5,43,0.0012725006408976622,no
6,76,0.0012414496862267913,no
7,76,8.898141100147283E-4,no
8,72,8.92320767701873E-4,no
9,196,8.93578843180899E-4,no
10,170,8.827099816533415E-4,no
11,120,8.775343104073727E-4,no
12,88,0.001235372660525063,no
13,72,0.0012449456873065432,no
14,242,9.273458572344129E-4,no
15,312,0.0010298624382489396,no
16,158,8.787701786448608E-4,no
17,53,9.045785750533892E-4,no
18,605,0.0026198794873635266,no
19,890,0.021037017944122906,yes
20,69,0.0012487499809891323,no
21,61,9.011751512548199E-4,no
22,162,8.798710670794052E-4,no
23,68,8.950484790295003E-4,no
24,146,8.772015842094791E-4,no
25,215,9.062624057650892E-4,no
26,437,0.001382187304735939,no
27,72,8.92320767701873E-4,no
28,74,8.92320767701873E-4,no
29,327,0.0010584969295230275,no
30,265,9.546086409021187E-4,no
31,35,9.20519638245188E-4,no
32,555,0.0021095574455744703,no
33,297,0.0010041602688675376,no
34,45,9.120780397692397E-4,no
35,420,0.0018465651288082211,no
36,181,8.864054799067754E-4,no
37,129,8.765845352940956E-4,no
38,61,9.011751512548199E-4,no
39,65,8.979992245619803E-4,no
40,161,0.06512309405141288,no
41,244,9.322895134359271E-4,no
42,425,0.001342635645998384,no
43,49,9.082119837021907E-4,no
44,41,9.161795838913693E-4,no
45,107,0.001226821685599764,no
46,1636,1.0,no
47,1069,0.843622431568735,no
48,46,9.120780397692397E-4,no
49,465,0.0015166340591500922,no
50,98,0.001230501339777341,no
51,408,0.032807274370959136,yes
52,221,9.100051325418646E-4,no
53,460,0.0014924601203991131,no
54,198,8.93578843180899E-4,yes
55,57,0.0012572947190553475,no
56,418,0.0018210531458771378,no
57,374,0.0016240810472771517,yes
58,53,9.045785750533892E-4,no
59,163,0.005098489243843445,no
60,47,9.082119837021907E-4,no
61,286,9.812081067876186E-4,no
62,82,8.875266894030274E-4,no
63,131,8.76424338575443E-4,no
64,407,0.0017723496995664843,no
65,159,8.787701786448608E-4,no
66,931,0.6227088293085704,no
67,43,9.120780397692397E-4,no
68,206,8.994680361633549E-4,no
69,58,9.011751512548199E-4,no
70,121,0.0012235143684196973,no
71,167,8.811840200601788E-4,no
72,36,9.20519638245188E-4,no
73,84,8.875266894030274E-4,no
74,36,9.20519638245188E-4,no
75,214,0.001264389772105884,no
76,43,9.120780397692397E-4,no
77,49,9.082119837021907E-4,no
78,73,8.92320767701873E-4,no
79,75,8.92320767701873E-4,no
80,192,0.005162517773603127,no
81,192,8.909682259692418E-4,no
82,141,0.005080380519005942,yes
83,95,8.836031001979434E-4,no
84,160,8.798710670794052E-4,no
85,193,8.909682259692418E-4,no
86,109,8.79325783233424E-4,no
87,70,8.950484790295003E-4,no
88,235,0.0012872434838279323,no
89,63,8.979992245619803E-4,no
90,46,9.120780397692397E-4,no
91,54,9.045785750533892E-4,no
92,70,8.950484790295003E-4,yes
93,62,0.005203081790695698,no
94,44,9.120780397692397E-4,no
95,51,9.082119837021907E-4,no
96,211,0.0012594923709312255,no
97,78,8.898141100147283E-4,no
98,59,9.011751512548199E-4,no
99,56,9.045785750533892E-4,no
100,44,9.120780397692397E-4,no
101,224,9.139818233068121E-4,no
102,125,0.0012229984650576741,no
103,117,0.0012243231180539852,no
104,211,9.027508968919567E-4,no
105,83,8.875266894030274E-4,no
106,213,9.027508968919567E-4,no
107,175,8.844500502549175E-4,no
108,47,9.082119837021907E-4,no
109,230,9.181954038207881E-4,no
110,47,9.082119837021907E-4,no
111,93,8.836031001979434E-4,no
112,47,9.082119837021907E-4,no
113,57,9.011751512548199E-4,no
114,155,8.787701786448608E-4,no
115,167,8.811840200601788E-4,no
116,65,8.979992245619803E-4,no
117,65,8.979992245619803E-4,no
118,45,9.120780397692397E-4,no
119,521,0.01060484696233829,yes
120,47,9.082119837021907E-4,no
121,32,9.20519638245188E-4,no
122,56,9.045785750533892E-4,no
123,61,9.011751512548199E-4,no
124,146,0.005083085809775777,no
125,166,8.811840200601788E-4,no
126,134,8.76424338575443E-4,no
127,162,0.9999888708578865,no
128,161,8.798710670794052E-4,no
129,43,9.120780397692397E-4,no
130,43,9.120780397692397E-4,no
131,99,0.001230501339777341,no
132,79,8.898141100147283E-4,no
133,81,8.875266894030274E-4,no
134,51,9.082119837021907E-4,no
135,177,0.0012339684823959496,no
136,103,8.805386692592223E-4,no
137,1116,0.9237383187147713,yes
138,156,8.787701786448608E-4,no
139,36,9.20519638245188E-4,no
140,71,8.950484790295003E-4,no
141,41,9.161795838913693E-4,no
142,39,9.161795838913693E-4,no
143,379,0.00681613633800398,yes
144,245,9.322895134359271E-4,no
145,57,9.011751512548199E-4,no
146,47,9.082119837021907E-4,no
147,290,0.0013791690064709362,no
148,118,8.775343104073727E-4,no
149,68,8.950484790295003E-4,no
150,250,0.0054308287933523365,no
151,152,8.77880563891529E-4,no
152,54,9.045785750533892E-4,no
153,57,9.011751512548199E-4,yes
154,57,9.011751512548199E-4,yes
155,214,9.062624057650892E-4,no
156,97,8.819640997478398E-4,no
157,127,8.765845352940956E-4,no
158,157,8.787701786448608E-4,no
159,189,0.0012430593167728078,no
160,184,0.0012397252542089984,no
161,93,8.836031001979434E-4,no
162,89,8.854568511104025E-4,no
163,1101,0.11644832087757359,yes
164,495,0.0016785128327722297,no
165,115,8.783245699466922E-4,no
166,128,8.765845352940956E-4,no
167,436,0.001382187304735939,no
168,170,8.827099816533415E-4,no
169,78,8.898141100147283E-4,no
170,85,8.875266894030274E-4,no
171,1338,0.6273367571701451,no
172,440,0.03610651174920796,yes
173,257,9.429321026138943E-4,no
174,87,8.854568511104025E-4,no
175,46,9.120780397692397E-4,no
176,74,8.92320767701873E-4,no
177,67,8.950484790295003E-4,no
178,164,8.798710670794052E-4,no
179,91,8.836031001979434E-4,no
180,307,0.001020978710627338,no
181,788,0.007402434615993602,no
182,1883,0.9999964932409134,no
183,1532,1.0,yes
184,71,8.950484790295003E-4,no
185,1143,0.12200075876705294,no
186,142,8.767327524816932E-4,no
187,167,8.811840200601788E-4,no
188,63,8.979992245619803E-4,no
189,230,9.181954038207881E-4,no
190,629,0.002945732255591028,no
191,138,8.764737325022557E-4,no
192,37,9.161795838913693E-4,no
