ID,Size,Predicted,Actual
1,76,1.63790345089286E-7,no
2,72,1.6429676042908837E-7,no
3,196,1.644517107154629E-7,no
4,170,1.6229383566479912E-7,no
5,120,1.6117995135003284E-7,no
6,65,1.6544348670716126E-7,no
7,103,1.619127817280605E-7,no
8,96,1.6220206811580012E-7,no
9,242,1.0,no
10,312,1.9183517392315198E-7,no
11,151,1.613424118514972E-7,no
12,53,1.667718351053401E-7,no
13,605,5.434244468749503E-7,no
14,858,5.04516551479335E-6,no
15,51,1.6750541805017508E-7,no
16,61,1.6544348670716126E-7,no
17,162,1.6173317226577212E-7,no
18,68,1.6484766210388162E-7,no
19,146,2.308293281827606E-7,no
20,219,1.677266267334846E-7,no
21,369,3.2083224167161277E-7,no
22,58,2.496549274893411E-7,no
23,48,2.385388943270912E-7,no
24,302,2.3115007515832296E-4,yes
25,268,2.51947538089419E-7,no
26,35,1.6999097016142865E-7,no
27,546,4.093804829971986E-7,no
28,263,1.7666120285346414E-7,yes
29,45,1.6828604363074838E-7,no
30,129,1.6106623333193336E-7,no
31,61,1.6544348670716126E-7,no
32,161,3.4674253728982905E-6,no
33,210,1.6627895877573216E-7,yes
34,348,3.07471932978699E-7,yes
35,49,1.6750541805017508E-7,no
36,41,1.6911433862834317E-7,no
37,97,1.6220206811580012E-7,no
38,1422,0.029606186503911256,no
39,670,1.0748383062636474E-4,yes
40,46,1.6828604363074838E-7,no
41,458,2.87172801340178E-7,no
42,377,3.185138612891505E-7,yes
43,221,1.677266267334846E-7,no
44,460,2.922380079514743E-7,no
45,213,2.4183624779443606E-7,no
46,47,1.6750541805017508E-7,no
47,150,2.2231632666158925E-7,no
48,80,1.63790345089286E-7,no
49,131,1.6106623333193336E-7,no
50,385,0.024914765548301906,yes
51,159,1.6173317226577212E-7,no
52,743,1.6738122643942743E-4,yes
53,43,1.6828604363074838E-7,no
54,209,2.3547046033449874E-7,no
55,54,1.667718351053401E-7,yes
56,84,1.6332801559548737E-7,yes
57,166,1.6199216876554294E-7,no
58,36,1.6999097016142865E-7,yes
59,84,1.6332801559548737E-7,no
60,36,1.6999097016142865E-7,yes
61,197,1.65015575872555E-7,yes
62,43,1.6828604363074838E-7,no
63,49,1.6750541805017508E-7,no
64,73,1.6429676042908837E-7,no
65,75,1.6429676042908837E-7,no
66,131,1.6106623333193336E-7,no
67,94,1.6253418959287932E-7,no
68,148,1.6121034204468487E-7,yes
69,193,1.644517107154629E-7,no
70,109,1.6166610348859705E-7,no
71,70,1.6484766210388162E-7,no
72,220,1.677266267334846E-7,no
73,63,1.6544348670716126E-7,no
74,46,1.6828604363074838E-7,no
75,54,1.667718351053401E-7,no
76,70,1.6484766210388162E-7,no
77,43,1.6828604363074838E-7,yes
78,51,1.6750541805017508E-7,no
79,207,1.6627895877573216E-7,no
80,78,1.63790345089286E-7,no
81,59,1.6608470751353232E-7,no
82,56,1.6608470751353232E-7,no
83,44,1.6828604363074838E-7,no
84,224,1.685209914784242E-7,no
85,119,1.6129983162837347E-7,no
86,113,1.614618400944682E-7,no
87,83,1.6332801559548737E-7,no
88,210,1.6627895877573216E-7,yes
89,175,1.6263840969992014E-7,no
90,47,1.6750541805017508E-7,no
91,224,1.685209914784242E-7,no
92,47,1.6750541805017508E-7,no
93,93,1.6253418959287932E-7,no
94,47,1.6750541805017508E-7,no
95,144,1.6121034204468487E-7,yes
96,167,1.6199216876554294E-7,no
97,65,1.6544348670716126E-7,no
98,65,1.6544348670716126E-7,no
99,45,1.6828604363074838E-7,no
100,401,2.3759843686151523E-7,yes
101,47,1.6750541805017508E-7,no
102,32,1.6999097016142865E-7,no
103,56,1.6608470751353232E-7,no
104,61,1.6544348670716126E-7,no
105,104,1.619127817280605E-7,no
106,155,1.6151664314863735E-7,no
107,145,1.6121034204468487E-7,yes
108,43,1.6828604363074838E-7,no
109,43,1.6828604363074838E-7,no
110,95,1.6220206811580012E-7,no
111,79,1.63790345089286E-7,no
112,81,1.6332801559548737E-7,no
113,51,1.6750541805017508E-7,no
114,103,1.619127817280605E-7,no
115,826,3.3593457269997604E-6,yes
116,131,2.371972430384489E-7,no
117,36,1.6999097016142865E-7,no
118,71,1.6429676042908837E-7,no
119,41,1.6911433862834317E-7,no
120,39,1.6911433862834317E-7,no
121,345,0.0030100565299691737,no
122,57,1.6608470751353232E-7,no
123,43,1.6828604363074838E-7,yes
124,282,1.8201154155756069E-7,no
125,118,1.6129983162837347E-7,no
126,64,1.6544348670716126E-7,yes
127,207,1.6627895877573216E-7,no
128,140,1.611203304536842E-7,yes
129,54,1.667718351053401E-7,no
130,53,1.667718351053401E-7,yes
131,53,1.667718351053401E-7,yes
132,198,1.65015575872555E-7,yes
133,150,1.613424118514972E-7,yes
134,147,1.6121034204468487E-7,yes
135,177,1.6263840969992014E-7,no
136,989,8.942658659119903E-6,yes
137,418,3.634089008123395E-7,yes
138,115,1.6129983162837347E-7,no
139,128,1.6110210553088832E-7,no
140,436,2.684730063559366E-7,no
141,170,1.6229383566479912E-7,no
142,78,1.63790345089286E-7,no
143,85,1.6332801559548737E-7,no
144,1028,1.3001484267393574E-5,yes
145,333,1.9971449119418566E-7,yes
146,247,1.7322489940007454E-7,no
147,87,1.629094070352926E-7,no
148,46,1.6828604363074838E-7,no
149,72,1.6429676042908837E-7,no
150,67,1.6484766210388162E-7,no
151,164,1.6199216876554294E-7,no
152,91,1.6253418959287932E-7,no
153,307,1.9003807835181078E-7,no
154,775,2.2680291115101302E-6,no
155,1780,0.7804415921508354,yes
156,1254,1.6403942263475642E-4,no
157,71,1.6429676042908837E-7,no
158,1146,7.943982452797599E-5,no
159,142,1.611203304536842E-7,no
160,167,1.6199216876554294E-7,no
161,63,1.6544348670716126E-7,no
162,230,1.6936321465481885E-7,no
163,611,5.717740404484756E-7,no
