ID,Size,Predicted,Actual
1,76,0.032123917928942744,no
2,72,0.032123917928942744,no
3,196,0.03275403704030518,no
4,170,0.0322022830978296,no
5,120,0.031819872707772485,no
6,242,0.05471751340721241,no
7,312,0.0602783529008382,no
8,151,0.03198898966963909,no
9,53,0.03250701796289305,no
10,626,0.10180836338448157,no
11,884,0.3476417202791213,no
12,51,0.03250701796289305,no
13,61,0.03229579984802397,no
14,162,0.03212152452622715,no
15,68,0.05162379852801589,no
16,86,0.03199077754391112,no
17,146,0.03193709907928277,no
18,214,0.033207068665661574,no
19,386,0.3075058354137798,no
20,72,0.032123917928942744,no
21,74,0.032123917928942744,no
22,327,0.7713112547089785,no
23,265,0.0351586305843482,no
24,35,0.032899242768417304,no
25,552,0.4337517443169777,no
26,297,0.036666297141104184,no
27,45,0.0326276016561775,no
28,129,0.03183842295405286,no
29,61,0.03229579984802397,no
30,65,0.03229579984802397,no
31,161,0.03205044716083719,no
32,244,0.03417690257956513,no
33,382,0.04343772679170061,no
34,49,0.03250701796289305,no
35,41,0.03275830529480407,no
36,97,0.03189591921355046,no
37,1765,1.0,yes
38,961,0.6155167317707191,no
39,46,0.0326276016561775,no
40,465,0.05485269948717357,no
41,404,0.07302034378653177,no
42,221,0.03337914681543307,no
43,460,0.05390166408195098,no
44,213,0.033207068665661574,yes
45,47,0.0326276016561775,no
46,259,0.9999999999264765,no
47,82,0.03205253689823187,no
48,131,0.03183842295405286,no
49,416,0.9605943297646263,no
50,159,0.03205044716083719,no
51,898,0.9805011004977444,no
52,43,0.0326276016561775,no
53,206,0.03289465065319239,no
54,58,0.03239644935222864,no
55,112,0.05102635489096954,no
56,167,0.05149269536033247,no
57,36,0.032899242768417304,no
58,84,0.03199077754391112,no
59,36,0.032899242768417304,no
60,201,0.03275403704030518,no
61,43,0.0326276016561775,no
62,49,0.03250701796289305,no
63,73,0.032123917928942744,no
64,75,0.032123917928942744,no
65,174,0.051761724620550474,no
66,131,0.03183842295405286,no
67,95,0.05113822518581193,no
68,160,0.05138102963802749,no
69,193,0.05228128085919351,no
70,109,0.03183901618864254,no
71,70,0.03220498223235541,no
72,220,0.03337914681543307,no
73,63,0.03229579984802397,no
74,46,0.0326276016561775,no
75,54,0.03239644935222864,no
76,70,0.03220498223235541,no
77,44,0.0326276016561775,no
78,51,0.03250701796289305,no
79,207,0.033045617156005784,no
80,78,0.03205253689823187,no
81,59,0.03239644935222864,no
82,56,0.03239644935222864,no
83,44,0.0326276016561775,no
84,224,0.053753621972908866,no
85,119,0.031819872707772485,no
86,113,0.031824731656851825,no
87,192,0.05228128085919351,no
88,83,0.03199077754391112,no
89,213,0.05319690558033474,no
90,175,0.0322927926481451,no
91,47,0.0326276016561775,no
92,228,0.053753621972908866,no
93,47,0.0326276016561775,no
94,93,0.03193858663073294,no
95,47,0.0326276016561775,no
96,57,0.051924521467870376,no
97,155,0.05128446919479025,no
98,167,0.03212152452622715,no
99,65,0.03229579984802397,no
100,65,0.03229579984802397,no
101,45,0.0326276016561775,no
102,496,0.09646257732283803,no
103,47,0.0326276016561775,no
104,32,0.032899242768417304,no
105,56,0.03239644935222864,no
106,61,0.03229579984802397,no
107,104,0.03186273857741104,no
108,155,0.03198898966963909,no
109,161,0.05138102963802749,no
110,43,0.0326276016561775,no
111,43,0.0326276016561775,no
112,95,0.03189591921355046,no
113,79,0.03205253689823187,no
114,81,0.03205253689823187,no
115,51,0.03250701796289305,no
116,158,0.05138102963802749,no
117,103,0.03186273857741104,no
118,929,0.9972853368006479,yes
119,153,0.05128446919479025,no
120,36,0.032899242768417304,no
121,71,0.032123917928942744,no
122,41,0.03275830529480407,no
123,39,0.03275830529480407,no
124,345,0.040276241433825626,no
125,227,0.053753621972908866,no
126,57,0.03239644935222864,no
127,47,0.0326276016561775,no
128,282,0.03602403724493179,no
129,118,0.05101871875549875,no
130,68,0.03220498223235541,no
131,207,0.05294358655769914,no
132,152,0.05128446919479025,no
133,54,0.03239644935222864,no
134,57,0.03239644935222864,no
135,57,0.03239644935222864,no
136,214,0.05319690558033474,no
137,84,0.05128727836170775,no
138,127,0.051025888940249384,no
139,157,0.05138102963802749,no
140,183,0.05191931095257804,no
141,177,0.0322927926481451,no
142,93,0.05120527170505425,no
143,89,0.05120527170505425,no
144,1105,0.9964415880260588,yes
145,494,0.3813961604626954,no
146,115,0.031824731656851825,no
147,128,0.03183842295405286,no
148,436,0.050397097724341644,no
149,170,0.0322022830978296,no
150,78,0.03205253689823187,no
151,85,0.03199077754391112,no
152,1157,0.999191380499657,no
153,425,0.9982997012941862,yes
154,257,0.05544915508090884,no
155,87,0.03199077754391112,no
156,46,0.0326276016561775,no
157,72,0.032123917928942744,no
158,67,0.03220498223235541,no
159,164,0.03212152452622715,no
160,91,0.03193858663073294,no
161,307,0.03736353417279998,no
162,775,0.204484556978928,no
163,1856,1.0,no
164,1357,0.9999114567725818,yes
165,71,0.032123917928942744,no
166,1143,0.8310200429802513,no
167,142,0.0318947307044594,no
168,167,0.03212152452622715,no
169,63,0.03229579984802397,no
170,230,0.03375579830485426,no
171,629,0.15641333718043637,no
172,138,0.031861848088348785,no
173,37,0.03275830529480407,no
174,163,0.03212152452622715,no
175,2217,0.9999999864921582,no
176,96,0.03189591921355046,no
177,173,0.0322927926481451,no
178,136,0.031861848088348785,no
179,69,0.03220498223235541,no
180,104,0.03186273857741104,no
181,269,0.03543439712777073,no
182,544,0.07204849144412602,no
183,334,0.06282037776486432,yes
184,379,0.04343772679170061,yes
185,168,0.242873688738627,no
186,87,0.03199077754391112,yes
187,82,0.03205253689823187,no
188,96,0.03189591921355046,no
189,184,0.05191931095257804,yes
190,81,0.03205253689823187,no
191,61,0.03229579984802397,no
192,77,0.03205253689823187,no
193,51,0.03250701796289305,no
194,62,0.03229579984802397,no
195,83,0.03199077754391112,no
196,66,0.03220498223235541,no
197,127,0.03182443516692329,no
198,51,0.03250701796289305,no
199,344,0.06423879054041716,no
200,138,0.051084684105914616,no
201,183,0.03239313148327991,no
202,1625,0.9996271391336924,no
203,239,0.05437869390509539,no
204,95,0.03189591921355046,no
205,103,0.03186273857741104,no
206,68,0.03220498223235541,no
207,137,0.031861848088348785,no
208,250,0.25567742638414265,no
209,418,0.0762825044255349,no
210,251,0.05507423280925705,no
211,350,0.06498699864467157,yes
212,275,0.755160687251157,no
213,87,0.03199077754391112,no
214,98,0.03189591921355046,no
215,163,0.03212152452622715,no
216,99,0.03189591921355046,no
217,152,0.03198898966963909,no
218,231,0.03375579830485426,no
219,422,0.048811880612263006,no
220,219,0.03337914681543307,no
221,304,0.05970095298280048,yes
222,107,0.03183901618864254,no
223,96,0.03189591921355046,no
224,113,0.031824731656851825,no
225,83,0.03199077754391112,no
226,262,0.03489522951883023,no
227,110,0.05104880363797519,no
228,41,0.03275830529480407,no
229,89,0.03193858663073294,no
230,58,0.03239644935222864,no
231,54,0.03239644935222864,no
232,55,0.03239644935222864,no
233,76,0.05149645533099223,yes
234,49,0.03250701796289305,no
235,84,0.03199077754391112,no
236,405,0.8028229815350789,no
237,87,0.03199077754391112,no
238,97,0.03189591921355046,no
239,115,0.031824731656851825,no
240,1052,0.7753274457244186,yes
241,290,0.03633844745421835,no
242,170,0.0322022830978296,no
243,170,0.0322022830978296,no
244,403,0.07302034378653177,yes
245,218,0.03337914681543307,no
246,349,0.040757506952963214,yes
247,270,0.056686415323092744,yes
248,330,0.03893349767597971,no
249,603,1.0,no
250,259,0.03489522951883023,no
251,169,0.0322022830978296,no
252,77,0.03205253689823187,no
253,57,0.03239644935222864,no
254,60,0.051766447839969636,no
255,124,0.03182443516692329,no
256,133,0.03183842295405286,no
257,154,0.03198898966963909,no
258,97,0.05113822518581193,no
259,829,0.9997559957946184,yes
260,308,0.03736353417279998,no
261,188,0.03250338654751998,no
262,313,0.0602783529008382,no
263,110,0.03183901618864254,no
264,151,0.03198898966963909,no
265,106,0.05104880363797519,no
266,741,0.17281627213450562,no
267,85,0.03199077754391112,no
268,194,0.0326236535395261,no
269,187,0.03250338654751998,no
270,80,0.03205253689823187,no
271,85,0.03199077754391112,no
272,45,0.0326276016561775,no
273,263,0.03489522951883023,no
274,42,0.03275830529480407,no
275,947,0.5830391709091081,no
276,468,0.05583564355821168,no
277,65,0.03229579984802397,no
278,81,0.03205253689823187,no
279,1527,0.9976786137606408,no
280,235,0.03396070427136904,no
281,227,0.053753621972908866,no
282,198,0.03275403704030518,no
283,739,0.2547063180052579,no
284,499,0.06126680910434111,no
285,74,0.7342737957150891,no
286,618,0.14936598647066668,no
287,446,0.05209134519515673,no
288,125,0.051025888940249384,no
289,888,0.3570959161002122,no
290,155,0.03198898966963909,no
291,80,0.03205253689823187,no
292,45,0.0326276016561775,no
293,38,0.03275830529480407,no
294,835,0.9687317491103942,yes
295,4567,1.0,yes
296,647,0.9837362682000744,yes
297,106,0.05104880363797519,yes
298,174,0.0322927926481451,no
299,61,0.03229579984802397,yes
300,162,0.03212152452622715,no
301,211,0.033045617156005784,yes
302,300,0.03700788763128828,no
303,304,0.7636756767183334,yes
304,118,0.031819872707772485,no
305,115,0.031824731656851825,no
306,192,0.0326236535395261,no
307,406,0.04662433671174705,no
308,42,0.03275830529480407,no
309,80,0.03205253689823187,no
310,986,0.6581909126818288,no
311,557,0.07521790014165099,no
312,307,0.05970095298280048,yes
313,1127,0.9999999999993627,yes
314,127,0.03182443516692329,no
315,550,0.868682690919665,no
316,458,0.8258841388398501,yes
317,38,0.03275830529480407,no
318,607,0.09238029888551805,no
319,512,0.0637021945773832,no
320,523,0.06630324137343456,no
321,963,0.49460800940318717,no
