Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
BOOKKEEPER_Ibk-feature selectionSMOTE5.csv,32,0,0.0,0.0,0.0103959301039593,1.0,0.0,0,0.1702127659574468,0.2553191489361702,0.3617021276595745,0.3829787234042553,0.46808510638297873,0.5319148936170213,0.574468085106383,0.6595744680851063,0.723404255319149,0.8085106382978723,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,0.6305239437225438,0.1702127659574468,0.2553191489361702,0.3617021276595745,0.3829787234042553,0.46808510638297873,0.5319148936170213,0.574468085106383,0.6595744680851063,0.723404255319149,0.8085106382978723,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,0.7181169554668865,0.21621621621621623,0.2790697674418605,0.36170212765957444,0.3829787234042553,0.46808510638297873,0.5319148936170213,0.574468085106383,0.6595744680851063,0.723404255319149,0.8085106382978723,0.8297872340425532,0.8936170212765957,0.9361702127659575,0.9787234042553191,1.0,1.0,1.0,1.0,1,0.7144456886898096,
BOOKKEEPER_Ibk-sensitive learningfeature selection4.csv,5,0.38461538461538464,0.1724137931034483,0.23809523809523808,0.32167832167832167,0.9500594530321048,0.29310344827586216,0.2182178902359924,0.1724137931034483,0.2413793103448276,0.3448275862068966,0.3793103448275862,0.41379310344827586,0.5517241379310345,0.6206896551724138,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.8275862068965517,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,0.6804252009333679,0.1724137931034483,0.2413793103448276,0.3448275862068966,0.3793103448275862,0.41379310344827586,0.5517241379310345,0.6206896551724138,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.8275862068965517,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,0.7147005444646098,0.20000000000000007,0.24137931034482762,0.3448275862068966,0.3793103448275862,0.4137931034482758,0.5517241379310345,0.6206896551724138,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.8275862068965517,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1,0.7132486388384756,
BOOKKEEPER_RandomForest-sensitive learning4.csv,0,0,0.0,0.0,0.2043614280456386,0.897938961553706,0.0,0,0.3103448275862069,0.4827586206896552,0.5517241379310345,0.6206896551724138,0.6896551724137931,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.7736479128856623,0.3103448275862069,0.4827586206896552,0.5517241379310345,0.6206896551724138,0.6896551724137931,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.7975317604355716,0.36,0.48275862068965525,0.5517241379310345,0.6206896551724138,0.6896551724137931,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1,0.7949183303085299,
BOOKKEEPER_RandomForest-sensitive learningfeature selection4.csv,0,0,0.0,0.0,0.2494172494172494,0.8940745144669047,0.0,0,0.3103448275862069,0.4827586206896552,0.4827586206896552,0.5517241379310345,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.7687840290381124,0.3103448275862069,0.4827586206896552,0.4827586206896552,0.5517241379310345,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.7884573502722322,0.36,0.48275862068965525,0.48275862068965525,0.5517241379310345,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1,0.7858439201451904,
BOOKKEEPER_RandomForest-SMOTE4.csv,5,0.3333333333333333,0.1724137931034483,0.22727272727272727,0.1727831154788986,0.877031311930242,0.29284352798475133,0.19587520613427853,0.3103448275862069,0.41379310344827586,0.5517241379310345,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.8275862068965517,0.896551724137931,0.896551724137931,0.9310344827586207,0.9655172413793104,1.0,0.7114648690692248,0.3103448275862069,0.41379310344827586,0.5517241379310345,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.8275862068965517,0.896551724137931,0.896551724137931,0.9310344827586207,0.9655172413793104,1.0,0.7558931812289345,0.36,0.4137931034482758,0.5517241379310345,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.8275862068965517,0.896551724137931,0.896551724137931,0.8571428571428571,0.8000000000000003,1,0.7658802177858439,
BOOKKEEPER_RandomForest5.csv,0,0,0.0,0.0,0.3134262331342623,0.9475099368716391,0.0,0,0.2553191489361702,0.46808510638297873,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.7659574468085106,0.8297872340425532,0.8297872340425532,0.8723404255319149,0.9361702127659575,0.9361702127659575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8395749326242308,0.2553191489361702,0.46808510638297873,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.7659574468085106,0.8297872340425532,0.8297872340425532,0.8723404255319149,0.9361702127659575,0.9361702127659575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.843549557526484,0.32432432432432434,0.5116279069767442,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.7659574468085106,0.8297872340425532,0.8297872340425532,0.8723404255319149,0.9361702127659575,0.9361702127659575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8376259798432251,
BOOKKEEPER_RandomForest4.csv,5,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.14310117081735704,0.8716805390408241,0.24155797748793992,0.15387768473745647,0.27586206896551724,0.41379310344827586,0.5517241379310345,0.6551724137931034,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.7586206896551724,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8620689655172413,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,0.7295099818511798,0.27586206896551724,0.41379310344827586,0.5517241379310345,0.6551724137931034,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.7586206896551724,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8620689655172413,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,0.7736479128856624,0.32000000000000006,0.4137931034482758,0.5517241379310345,0.6551724137931034,0.6551724137931034,0.6896551724137931,0.7586206896551724,0.7586206896551724,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8620689655172413,0.9310344827586207,0.9655172413793104,1.0,1.0,1,0.7713248638838476,
BOOKKEEPER_RandomForest-SMOTE5.csv,0,0,0.0,0.0,0.24172709893512812,0.9476268412438625,0.0,0,0.2765957446808511,0.46808510638297873,0.6170212765957447,0.6808510638297872,0.723404255319149,0.8085106382978723,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9574468085106383,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8502586286382737,0.2765957446808511,0.46808510638297873,0.6170212765957447,0.6808510638297872,0.723404255319149,0.8085106382978723,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9574468085106383,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8550504200911765,0.3513513513513513,0.5116279069767442,0.6170212765957447,0.6808510638297872,0.723404255319149,0.8085106382978723,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9574468085106383,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8488241881298991,
BOOKKEEPER_RandomForest-sensitive learningfeature selection5.csv,0,0,0.0,0.0,0.1922141119221411,0.951893850830021,0.0,0,0.2553191489361702,0.3617021276595745,0.48936170212765956,0.5106382978723404,0.5106382978723404,0.5106382978723404,0.5531914893617021,0.6170212765957447,0.6595744680851063,0.7659574468085106,0.7872340425531915,0.8297872340425532,0.9148936170212766,0.9148936170212766,0.9574468085106383,0.9787234042553191,1.0,1.0,1.0,0.7194970773358799,0.2553191489361702,0.3617021276595745,0.48936170212765956,0.5106382978723404,0.5106382978723404,0.5106382978723404,0.5531914893617021,0.6170212765957447,0.6595744680851063,0.7659574468085106,0.7872340425531915,0.8297872340425532,0.9148936170212766,0.9148936170212766,0.9574468085106383,0.9787234042553191,1.0,1.0,1.0,0.7209195524425654,0.32432432432432434,0.39534883720930236,0.4893617021276595,0.5106382978723404,0.5106382978723404,0.5106382978723404,0.5531914893617021,0.6170212765957447,0.6595744680851063,0.7659574468085106,0.7872340425531915,0.8297872340425532,0.9148936170212766,0.9148936170212766,0.9574468085106383,0.9565217391304347,1.0,1.0,1,0.7166853303471445,
BOOKKEEPER_RandomForest-sensitive learning5.csv,0,0,0.0,0.0,0.11266865737668658,0.9605447743745614,0.0,0,0.23404255319148937,0.40425531914893614,0.5106382978723404,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.8297872340425532,0.8297872340425532,0.8936170212765957,0.9574468085106383,0.9574468085106383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8280740700595384,0.23404255319148937,0.40425531914893614,0.5106382978723404,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.8297872340425532,0.8297872340425532,0.8936170212765957,0.9574468085106383,0.9574468085106383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8283767243375566,0.29729729729729726,0.44186046511627897,0.5106382978723404,0.5957446808510638,0.6808510638297872,0.7446808510638298,0.8297872340425532,0.8297872340425532,0.8936170212765957,0.9574468085106383,0.9574468085106383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8230683090705486,
