Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java,0.9.0,70,80,17,3,0,2,75,70,25.0,70,70,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,0.9.0,128,130,17,3,0,1,129,129,43.0,130,129,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,0.9.0,257,275,17,4,0,2,266,263,66.5,269,263,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,0.9.0,156,180,17,3,0,2,168,166,56.0,176,166,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,0.9.0,625,631,17,4,0,1,628,625,157.0,625,625,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,0.9.0,40,40,17,2,0,1,40,40,20.0,40,40,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,0.9.0,200,200,17,2,0,1,200,200,100.0,200,200,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,0.9.0,45,66,17,3,0,2,56,54,18.666666666666668,62,54,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,0.9.0,74,97,17,5,0,2,86,61,17.2,75,61,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,0.9.0,193,255,17,6,0,2,224,192,37.333333333333336,193,192,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,0.9.0,33,34,17,2,0,1,34,34,17.0,34,34,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,0.9.0,91,117,17,4,0,2,104,91,26.0,91,91,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,0.9.0,33,34,17,2,0,1,34,34,17.0,34,34,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,0.9.0,180,226,17,4,0,2,203,178,50.75,180,178,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,0.9.0,40,43,17,3,0,2,42,41,14.0,41,41,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,0.9.0,79,101,17,4,0,2,90,79,22.5,79,79,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,0.9.0,80,98,17,4,0,2,89,81,22.25,82,81,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java,0.9.0,134,168,17,4,0,2,151,134,37.75,134,134,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java,0.9.0,101,131,17,4,0,2,116,101,29.0,101,101,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,0.9.0,173,234,17,5,0,2,204,171,40.8,174,171,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java,0.9.0,204,280,17,5,0,2,242,211,48.4,218,211,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java,0.9.0,83,93,17,3,0,2,88,83,29.333333333333332,83,83,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java,0.9.0,76,98,17,4,0,2,87,77,21.75,78,77,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,0.9.0,185,195,17,4,0,2,190,178,47.5,185,178,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java,0.9.0,62,70,17,3,0,2,66,66,22.0,70,66,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java,0.9.0,46,46,17,2,0,1,46,46,23.0,46,46,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java,0.9.0,54,59,17,4,0,2,57,56,14.25,57,56,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java,0.9.0,70,76,17,3,0,2,73,70,24.333333333333332,70,70,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,0.9.0,44,53,17,3,0,2,49,49,16.333333333333332,53,49,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java,0.9.0,55,73,17,4,0,2,64,57,16.0,59,57,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java,0.9.0,202,246,17,4,0,2,224,202,56.0,202,202,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java,0.9.0,75,91,17,3,0,2,83,75,27.666666666666668,75,75,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java,0.9.0,72,100,17,4,0,2,86,83,21.5,94,83,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,0.9.0,237,311,17,6,0,2,274,232,45.666666666666664,237,232,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java,0.9.0,103,103,17,2,0,1,103,103,51.5,103,103,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,0.9.0,101,111,17,3,0,2,106,101,35.333333333333336,101,101,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,0.9.0,80,80,17,2,0,1,80,80,40.0,80,80,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,0.9.0,213,213,17,1,0,1,213,213,213.0,213,213,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,0.9.0,181,232,17,4,0,2,207,184,51.75,186,184,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java,0.9.0,30,42,17,2,0,1,36,29,18.0,30,29,no
