Key,Injected Version,Opening Version,Fixed Version, Affected Version List
BOOKKEEPER-396,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-404,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-408,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-413,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-415,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-424,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-425,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-434,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-436,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-439,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-442,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-454,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-457,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-458,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-461,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-466,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-467,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-468,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-469,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-470,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-471,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-474,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-475,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-477,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-481,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-480,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-479,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-482,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-483,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-484,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-485,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-493,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-497,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-498,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-500,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-503,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-504,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-507,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-509,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-511,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
