Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,4.0.0,58,60,12,2,0,2,59,58,29.5,58,58,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,4.0.0,91,101,12,2,0,2,96,91,48.0,91,91,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,4.0.0,27,29,12,2,0,2,28,27,14.0,27,27,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,4.0.0,77,81,12,2,0,2,79,77,39.5,77,77,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,4.0.0,704,780,12,3,0,2,742,703,247.33333333333334,704,703,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,4.0.0,63,71,12,2,0,2,67,63,33.5,63,63,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,4.0.0,37,37,12,1,0,1,37,37,37.0,37,37,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,4.0.0,64,66,12,2,0,2,65,64,32.5,64,64,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,4.0.0,124,130,12,2,0,2,127,124,63.5,124,124,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,4.0.0,160,174,12,4,0,2,167,159,41.75,160,159,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,4.0.0,36,46,12,2,0,2,41,36,20.5,36,36,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,4.0.0,58,62,12,2,0,2,60,57,30.0,58,57,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,4.0.0,62,62,12,1,0,1,62,62,62.0,62,62,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,4.0.0,130,154,12,4,0,2,142,129,35.5,130,129,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,4.0.0,74,78,12,2,0,2,76,73,38.0,74,73,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,4.0.0,83,89,12,3,0,2,86,82,28.666666666666668,83,82,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,4.0.0,74,74,12,1,0,1,74,74,74.0,74,74,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,4.0.0,48,52,12,2,0,2,50,48,25.0,48,48,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,4.0.0,60,62,12,2,0,2,61,60,30.5,60,60,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,4.0.0,70,82,12,3,0,2,76,70,25.333333333333332,70,70,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,4.0.0,183,221,12,4,0,2,202,180,50.5,183,180,no
